ATM_ID,Location,Transaction_ID,Transaction_Type,Amount_INR,Transaction_DateTime,Predicted_Algorithm
ATM001,Nashik,9cc4d9a4,Replenishment,610000,2025-07-03 11:09:24,knapsack
ATM001,Nashik,e7324573,Withdrawal,19700,2025-06-17 23:03:45,knapsack
ATM001,Nashik,254042ba,Withdrawal,10600,2025-07-08 14:26:14,knapsack
ATM001,Nashik,fbda0762,Withdrawal,14200,2025-05-11 10:18:08,knapsack
ATM001,Nashik,e714d667,Withdrawal,19800,2025-06-21 11:45:57,knapsack
ATM001,Nashik,71bddb51,Withdrawal,16400,2025-05-25 19:58:35,knapsack
ATM001,Nashik,db078517,Replenishment,760000,2025-07-11 15:02:51,knapsack
ATM001,Nashik,075adf61,Withdrawal,14000,2025-06-20 05:09:20,knapsack
ATM001,Nashik,bea9bfff,Withdrawal,6300,2025-04-29 11:33:22,knapsack
ATM001,Nashik,b99ce359,Withdrawal,3500,2025-05-05 23:20:17,knapsack
ATM001,Nashik,03fbafa3,Withdrawal,15100,2025-05-18 02:37:19,knapsack
ATM001,Nashik,408410d6,Replenishment,830000,2025-06-23 00:56:04,knapsack
ATM001,Nashik,b04a65e5,Replenishment,780000,2025-05-17 22:12:11,knapsack
ATM001,Nashik,8fd4e94f,Withdrawal,19400,2025-05-03 21:01:16,knapsack
ATM001,Nashik,1421e09f,Withdrawal,19500,2025-06-02 14:27:58,knapsack
ATM001,Nashik,e901a87d,Withdrawal,8900,2025-06-15 16:55:48,knapsack
ATM001,Nashik,49cabb93,Replenishment,300000,2025-06-10 00:40:38,knapsack
ATM001,Nashik,ac40acb9,Replenishment,560000,2025-07-05 16:25:40,knapsack
ATM001,Nashik,e7e33436,Withdrawal,17100,2025-06-09 16:52:10,knapsack
ATM001,Nashik,0644139f,Replenishment,820000,2025-04-25 07:19:56,knapsack
ATM001,Nashik,c3196985,Withdrawal,9000,2025-04-26 16:47:18,knapsack
ATM001,Nashik,6e1938eb,Withdrawal,12900,2025-05-27 00:14:03,knapsack
ATM001,Nashik,ddda0544,Withdrawal,7900,2025-05-01 11:50:35,knapsack
ATM001,Nashik,af4a1e7e,Replenishment,970000,2025-07-11 05:14:46,knapsack
ATM001,Nashik,ef8fdb00,Withdrawal,5300,2025-06-18 07:30:48,knapsack
ATM001,Nashik,00257116,Replenishment,830000,2025-06-26 03:19:30,knapsack
ATM001,Nashik,414a4aed,Withdrawal,2500,2025-05-01 20:56:17,knapsack
ATM001,Nashik,e873f177,Withdrawal,3700,2025-06-23 04:02:50,knapsack
ATM001,Nashik,0a5a3836,Replenishment,430000,2025-04-19 07:45:57,knapsack
ATM001,Nashik,6682bff6,Replenishment,560000,2025-06-25 22:21:51,knapsack
ATM001,Nashik,ae7a7706,Withdrawal,15500,2025-05-19 06:01:25,knapsack
ATM001,Nashik,80e5b07f,Withdrawal,13100,2025-06-26 03:58:37,knapsack
ATM001,Nashik,eff9e5ab,Replenishment,500000,2025-04-15 12:53:34,knapsack
ATM001,Nashik,7ac192d4,Withdrawal,300,2025-05-30 17:55:53,greedy
ATM001,Nashik,d16b30ef,Replenishment,570000,2025-05-09 19:25:19,knapsack
ATM001,Nashik,39fd8129,Replenishment,430000,2025-07-07 07:17:53,knapsack
ATM001,Nashik,ef6f81df,Replenishment,740000,2025-05-17 14:16:16,knapsack
ATM001,Nashik,76027b94,Replenishment,890000,2025-04-26 21:32:30,knapsack
ATM001,Nashik,96f33d3a,Replenishment,520000,2025-06-29 13:51:04,knapsack
ATM001,Nashik,2f27fd41,Withdrawal,15500,2025-06-26 03:21:47,knapsack
ATM001,Nashik,0c6aa247,Withdrawal,8600,2025-06-16 07:21:35,knapsack
ATM001,Nashik,74e8faea,Replenishment,930000,2025-06-21 18:01:26,knapsack
ATM001,Nashik,68e6ffb2,Withdrawal,2700,2025-06-22 03:10:46,knapsack
ATM001,Nashik,7874dbc7,Replenishment,880000,2025-07-08 12:28:20,knapsack
